frame,track_id,class_name,confidence,x1,y1,x2,y2,cx,cy
0,1,REF,0.7717027068138123,566.2752075195312,244.03378295898438,598.6566772460938,329.4527893066406,582.4659423828125,286.7432861328125
0,2,CAR,0.721207857131958,676.7180786132812,495.64617919921875,715.2409057617188,614.3944702148438,695.9794921875,555.0203247070312
0,3,GCS,0.6976414918899536,179.82945251464844,368.501953125,217.6100616455078,466.2068786621094,198.71975708007812,417.3544158935547
0,4,CAR,0.6889088153839111,402.3288879394531,335.3648376464844,444.7773742675781,422.8426208496094,423.5531311035156,379.1037292480469
0,5,GCS,0.6670624613761902,648.2354125976562,250.37399291992188,686.5625610351562,343.1415710449219,667.3989868164062,296.7577819824219
1,1,REF,0.8017137050628662,567.0537109375,247.65440368652344,598.9011840820312,331.6760559082031,582.9774475097656,289.6652297973633
1,2,CAR,0.7200824618339539,677.2258911132812,501.7902526855469,715.7136840820312,620.3836059570312,696.4697875976562,561.0869293212891
1,3,GCS,0.6941245794296265,175.5462188720703,375.9413146972656,211.86888122558594,469.90338134765625,193.70755004882812,422.92234802246094
1,4,CAR,0.7281048893928528,403.2724609375,339.62139892578125,445.9371032714844,427.5127258300781,424.6047821044922,383.5670623779297
1,5,GCS,0.6593430042266846,649.531494140625,253.96249389648438,687.6533813476562,346.2948913574219,668.5924377441406,300.1286926269531
2,1,REF,0.774237871170044,567.76171875,250.08267211914062,599.9597778320312,335.04315185546875,583.8607482910156,292.5629119873047
2,2,CAR,0.7339316010475159,677.1861572265625,508.3553466796875,715.455078125,626.1881103515625,696.3206176757812,567.271728515625
2,3,GCS,0.7022074460983276,169.09632873535156,379.1969299316406,206.86032104492188,476.9378662109375,187.97832489013672,428.06739807128906
2,4,CAR,0.730446457862854,402.7759704589844,342.9146728515625,446.5675048828125,433.1695861816406,424.67173767089844,388.04212951660156
2,5,GCS,0.6121159195899963,649.7349853515625,257.3260192871094,688.825439453125,351.9267272949219,669.2802124023438,304.6263732910156
3,1,REF,0.8003553748130798,568.6671142578125,254.11944580078125,601.0255737304688,339.5225524902344,584.8463439941406,296.8209991455078
3,2,CAR,0.7502200603485107,677.290283203125,516.1583251953125,715.5260620117188,633.52978515625,696.4081726074219,574.8440551757812
3,3,GCS,0.7060170769691467,164.08180236816406,382.0587463378906,202.27978515625,481.16497802734375,183.18079376220703,431.6118621826172
3,4,CAR,0.7191197276115417,403.16827392578125,345.8811950683594,447.8182067871094,438.3008117675781,425.4932403564453,392.09100341796875
3,5,GCS,0.6605680584907532,650.0371704101562,259.29498291015625,690.187744140625,356.3788757324219,670.1124572753906,307.83692932128906
4,1,REF,0.8043288588523865,569.6387329101562,259.0626525878906,601.4334106445312,342.7757263183594,585.5360717773438,300.919189453125
4,2,CAR,0.759704053401947,677.5394897460938,522.6658325195312,716.0869750976562,640.0883178710938,696.813232421875,581.3770751953125
4,3,GCS,0.6709924936294556,157.51034545898438,385.3443908691406,196.5931396484375,487.0664978027344,177.05174255371094,436.2054443359375
4,4,CAR,0.7164433002471924,404.4112548828125,349.176025390625,449.0320739746094,442.05462646484375,426.72166442871094,395.6153259277344
4,5,GCS,0.6718609929084778,650.7996215820312,262.50360107421875,691.7962646484375,361.48870849609375,671.2979431152344,311.99615478515625
5,1,REF,0.7829304933547974,570.876708984375,263.3236999511719,602.9327392578125,347.5940246582031,586.9047241210938,305.4588623046875
5,2,CAR,0.7246274948120117,678.6058959960938,529.1914672851562,717.33544921875,645.9552612304688,697.9706726074219,587.5733642578125
5,3,GCS,0.6849575638771057,152.6090545654297,388.9482421875,191.88075256347656,491.7557373046875,172.24490356445312,440.35198974609375
5,4,CAR,0.7325841188430786,405.7485656738281,351.474365234375,450.9381103515625,446.28515625,428.3433380126953,398.8797607421875
5,5,GCS,0.7132793068885803,652.1221923828125,268.5687255859375,692.7449951171875,366.2022399902344,672.43359375,317.38548278808594
6,1,REF,0.7829535603523254,571.2654418945312,264.6445617675781,603.4306640625,349.0541076660156,587.3480529785156,306.8493347167969
6,2,CAR,0.724031925201416,678.8101196289062,531.1961059570312,717.8970336914062,647.7503662109375,698.3535766601562,589.4732360839844
6,3,GCS,0.6829628944396973,151.16448974609375,390.12353515625,190.33566284179688,493.2742614746094,170.7500762939453,441.6988983154297
6,4,CAR,0.7305907011032104,406.3085632324219,352.1298828125,451.4237060546875,447.58148193359375,428.8661346435547,399.8556823730469
6,5,GCS,0.7134067416191101,652.54443359375,270.307373046875,693.0457153320312,367.1902770996094,672.7950744628906,318.7488250732422
7,1,REF,0.7889432311058044,572.304931640625,266.0899658203125,605.3212280273438,352.2027587890625,588.8130798339844,309.1463623046875
7,2,CAR,0.726243793964386,678.400390625,534.3012084960938,718.6288452148438,653.0651245117188,698.5146179199219,593.6831665039062
7,3,GCS,0.6550681591033936,147.0712890625,391.89971923828125,186.77427673339844,497.4789123535156,166.92278289794922,444.68931579589844
7,4,CAR,0.7244374752044678,407.5944519042969,353.99542236328125,452.2870788574219,449.4432678222656,429.9407653808594,401.71934509277344
7,5,GCS,0.7020168900489807,652.1444702148438,274.2100830078125,693.0693359375,371.4856872558594,672.6069030761719,322.84788513183594
8,1,REF,0.7864802479743958,573.89794921875,267.030517578125,607.8325805664062,354.4364929199219,590.8652648925781,310.73350524902344
8,2,CAR,0.7241817116737366,679.2332763671875,540.338623046875,719.607666015625,658.7360229492188,699.4204711914062,599.5373229980469
8,3,GCS,0.6992852687835693,140.73028564453125,394.9935607910156,180.61508178710938,501.9645080566406,160.6726837158203,448.4790344238281
8,4,CAR,0.6846482753753662,409.4352722167969,355.89111328125,453.75262451171875,452.0312805175781,431.5939483642578,403.96119689941406
8,5,GCS,0.7088230848312378,652.1053466796875,281.37152099609375,692.4388427734375,375.5979309082031,672.2720947265625,328.48472595214844
